"Natural resource depletion (% of GNI)"
"Dimension: Environmental sustainability"
"By 2030, achieve the sustainable management and efficient use of natural resources"
"Definition: Monetary valuation of energy, mineral and forest depletion, expressed as a percentage of gross national income (GNI)."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2015-2018",""
"136"," Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"90"," Moldova (Republic of)","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.1","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","a"
"99"," Mongolia","3.8","","8.3","","3.6","","8.3","","17.3","","20.1","","12.0","","11.4","","13.8","","11.0","","16.1","","21.7","","22.2","","22.2","a"
"48"," Montenegro","..","","..","","..","","..","","0.2","","0.3","","0.2","","0.1","","0.2","","0.2","","0.3","","0.6","","0.7","","0.7","a"
"121"," Morocco","0.1","","0.0","","0.1","","0.1","","0.4","","0.5","","0.4","","0.3","","0.4","","0.4","","0.3","","0.4","","0.3","","0.3","a"
"181"," Mozambique","..","","0.0","","0.0","","0.7","","1.7","","2.5","","2.8","","2.6","","0.4","","0.3","","0.8","","1.6","","1.9","","1.9","a"
"147"," Myanmar","..","","..","","1.2","","4.9","","2.0","","2.7","","2.9","","2.7","","3.6","","3.6","","2.2","","2.5","","2.8","","2.8","a"
"130"," Namibia","4.3","","0.6","","0.1","","0.4","","1.4","","1.5","","1.3","","1.0","","1.2","","1.8","","2.3","","2.6","","2.9","","2.9","a"
"142"," Nepal","1.7","","1.3","","1.1","","0.7","","1.3","","1.1","","0.9","","0.8","","0.8","","0.9","","1.0","","0.7","","0.3","","0.3","a"
"8"," Netherlands","0.4","","0.2","","0.3","","0.4","","0.7","","0.9","","1.1","","1.1","","0.7","","0.4","","0.2","","0.3","","0.3","","0.3","a"
"14"," New Zealand","0.7","","0.4","","0.9","","0.4","","1.1","","1.2","","1.1","","0.9","","0.9","","0.7","","0.5","","0.5","","0.7","","0.7","a"
"128"," Nicaragua","4.2","","1.5","","0.9","","0.8","","3.2","","3.5","","3.6","","3.7","","3.7","","2.6","","3.4","","2.8","","2.4","","2.4","a"
"189"," Niger","3.8","","9.7","","7.9","","7.9","","8.9","","10.2","","11.7","","13.4","","12.1","","12.4","","12.5","","11.8","","7.1","","7.1","a"
"161"," Nigeria","15.8","","12.3","","14.0","","11.4","","8.0","","10.1","","8.6","","6.5","","5.1","","2.7","","2.6","","4.4","","5.5","","5.5","a"
"82"," North Macedonia","..","","0.3","","0.2","","0.8","","2.4","","1.8","","1.2","","1.8","","2.0","","0.7","","0.7","","1.1","","..","","1.1","a"
"1"," Norway","5.7","","4.0","","9.9","","8.4","","7.0","","8.5","","7.8","","6.6","","6.0","","3.8","","3.0","","4.4","","5.9","","5.9","a"
"60"," Oman","38.8","","24.8","","35.8","","34.0","","30.2","","39.5","","37.1","","36.0","","31.7","","18.6","","15.4","","18.0","","22.5","","22.5","a"
"154"," Pakistan","1.4","","0.7","","1.2","","1.8","","1.5","","2.1","","2.0","","1.8","","1.7","","1.0","","0.8","","0.8","","1.0","","1.0","a"
"57"," Panama","0.0","","0.0","","0.0","","0.0","","0.1","","0.2","","0.2","","0.1","","0.1","","0.1","","0.0","","0.0","","0.0","","0.0","a"
"155"," Papua New Guinea","13.5","","22.2","","22.1","","25.3","","19.5","","19.5","","14.4","","11.1","","12.7","","12.8","","12.4","","13.4","","15.9","","15.9","a"
"103"," Paraguay","..","","2.9","","1.7","","1.8","","2.0","","1.5","","1.5","","1.5","","1.5","","1.5","","1.8","","1.4","","1.2","","1.2","a"
"79"," Peru","5.5","","1.4","","1.2","","3.2","","5.8","","7.0","","6.1","","4.8","","3.8","","3.7","","4.6","","5.6","","5.6","","5.6","a"
"107"," Philippines","1.2","","0.8","","0.4","","0.5","","2.0","","3.1","","1.8","","1.2","","1.8","","1.1","","0.7","","0.8","","0.9","","0.9","a"
"35"," Poland","..","","0.3","","0.2","","0.4","","0.5","","0.6","","0.5","","0.4","","0.4","","0.3","","0.3","","0.4","","0.4","","0.4","a"
"38"," Portugal","0.1","","0.0","","0.0","","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.0","","0.0","","0.1","","0.1","a"
"45"," Qatar","27.7","","18.3","","33.5","","22.3","","15.3","","18.3","","16.2","","14.8","","12.9","","7.7","","6.2","","7.4","","8.7","","8.7","a"
"49"," Romania","3.1","","1.2","","1.9","","1.3","","1.0","","1.6","","1.5","","1.3","","0.9","","0.6","","0.4","","0.5","","0.7","","0.7","a"
"52"," Russian Federation","..","","2.9","","9.3","","9.7","","8.3","","9.6","","8.7","","7.8","","7.5","","5.5","","4.6","","5.7","","8.6","","8.6","a"
"160"," Rwanda","4.4","","11.7","","5.6","","6.3","","5.9","","5.9","","5.8","","5.7","","5.9","","5.8","","5.7","","5.3","","3.6","","3.6","a"
"86"," Saint Lucia","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"97"," Saint Vincent and the Grenadines","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"111"," Samoa","0.0","","..","","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"135"," Sao Tome and Principe","..","","..","","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"40"," Saudi Arabia","11.0","","8.4","","12.9","","16.1","","10.9","","15.8","","15.8","","14.6","","13.3","","8.0","","6.8","","7.3","","9.3","","9.3","a"
"168"," Senegal","0.0","","0.0","","0.1","","0.0","","0.6","","0.9","","1.8","","1.0","","0.9","","0.9","","1.2","","0.9","","0.8","","0.8","a"
"64"," Serbia","..","","..","","..","","..","","0.6","","0.8","","0.7","","0.6","","0.5","","0.4","","0.3","","0.4","","0.5","","0.5","a"
"67"," Seychelles","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"182"," Sierra Leone","16.5","","15.6","","13.7","","9.4","","9.3","","9.7","","11.3","","15.0","","12.8","","9.9","","13.7","","12.3","","7.2","","7.2","a"
"11"," Singapore","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"39"," Slovakia","..","","0.0","","0.0","","0.0","","0.1","","0.0","","0.2","","0.2","","0.2","","0.1","","0.0","","0.0","","0.0","","0.0","a"
"22"," Slovenia","..","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"151"," Solomon Islands","0.4","","4.6","","1.2","","8.4","","22.5","","26.7","","24.0","","19.8","","22.7","","18.4","","16.8","","20.0","","19.0","","19.0","a"
".."," Somalia","0.0","","..","","..","","..","","..","","..","","..","","11.3","","12.8","","14.1","","15.0","","14.0","","8.3","","8.3","a"
"114"," South Africa","2.8","","1.9","","1.5","","2.7","","4.4","","5.0","","4.2","","4.1","","3.3","","2.2","","2.5","","2.5","","2.8","","2.8","a"
"185"," South Sudan","..","","..","","..","","..","","..","","..","","0.4","","5.9","","11.0","","3.6","","..","","..","","..","","3.6","a"
"25"," Spain","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"72"," Sri Lanka","0.3","","0.3","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.0","","0.0","a"
"170"," Sudan","..","","..","","..","","..","","..","","12.9","","3.5","","6.4","","3.3","","2.5","","3.1","","2.8","","8.6","","8.6","a"
"97"," Suriname","7.5","","3.0","","8.1","","6.6","","18.1","","28.3","","27.0","","20.6","","15.5","","11.1","","19.4","","25.3","","22.8","","22.8","a"
"7"," Sweden","0.1","","0.0","","0.0","","0.1","","0.2","","0.3","","0.2","","0.1","","0.1","","0.1","","0.1","","0.2","","0.2","","0.2","a"
"2"," Switzerland","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
